name,date
Axel,Jan 2
Dahlia,May 9
Ciaran,Sep 24
Molly,Jun 10
Chelsea,Oct 9
Owen,Mar 21
Cadman,Jul 17
Xyla,Aug 21
Hadley,Nov 27
Nicole,Mar 27
Cruz,Mar 18
Ori,Jul 15
Julie,Jan 20
Porter,Sep 15
Gay,Jul 6
Bernard,Nov 13
Angelica,May 29
August,Feb 26
Malcolm,Sep 5
Serina,Jun 30
Zachery,Nov 20
Prescott,Dec 4
Fulton,Feb 8
Mikayla,Mar 13
Bertha,Mar 23
Thor,Apr 15
Tallulah,Nov 30
Hollee,Mar 7
Mallory,Jul 23
Lunea,Dec 20
Russell,May 1
Cheyenne,Oct 22
Yeo,Dec 7
Ashton,Jun 30
Knox,Jan 31
Patrick,Oct 30
Conan,Oct 11
Hadassah,Dec 7
Kasimir,Dec 21
Rana,Feb 7
Carly,Aug 20
Andrew,Nov 27
Dustin,Oct 4
Tyrone,Jun 22
Inez,Apr 5
Maisie,Apr 3
Delilah,Mar 24
Wayne,Aug 4
Keiko,Dec 11
Tyler,May 11
Teegan,Nov 13
Dennis,Nov 4
Thor,Apr 12
Donovan,Jun 27
Noah,Dec 12
Kitra,Sep 17
Asher,Nov 27
Randall,Jun 17
Autumn,Jul 3
Doris,May 17
Amena,Dec 27
Olivia,Jul 24
Deirdre,Jun 7
Brody,Jan 6
Shelly,Nov 14
Quintessa,Apr 5
Doris,Dec 16
Morgan,Jul 31
Matthew,Sep 14
Celeste,Sep 3
Keiko,Mar 11
Ray,Aug 1
Gemma,Feb 14
Guinevere,Apr 21
Plato,Jan 13
Hiram,May 16
Nyssa,Dec 31
Felix,Aug 14
Hadley,Nov 1
Kimberley,Apr 17
Aiko,Mar 27
Curran,Jan 22
Dale,Mar 11
Jeremy,Oct 18
Lyle,Jul 21
Rylee,Oct 29
Hilary,Apr 5
Lee,Feb 28
Craig,Apr 12
Ciara,May 13
Davis,Feb 26
Orla,Jun 5
Laurel,Sep 16
Acton,Oct 7
Allegra,May 4
Tanisha,Dec 16
